experiment,detonation,file_create,image_load,net_connect,process_create,process_term,reg_create_key,reg_delete_key,reg_delete_value,reg_write,n_events,t_first,t_last,t_detonate,duration_s,dur_after_detonation_s,n_uniq_child,n_uniq_parent,n_uniq_cguid
E1006,1,2,23,0,0,1,0,0,0,0,27,2024-05-19 00:31:24.425,2024-05-19 00:31:24.876,2024-05-19 00:31:24.425,0.451,0.451,26,2,27
E1007,1,0,11,0,0,1,0,0,0,0,13,2024-05-17 00:53:11.575,2024-05-17 00:53:11.596,2024-05-17 00:53:11.575,0.021,0.021,12,2,13
E1008,1,272,206,5,1,1,115,0,2,9,612,2024-05-20 22:47:40.502,2024-05-20 22:47:44.313,2024-05-20 22:47:40.502,3.811,3.811,457,3,612
E1009,1,3,38,0,1,2,0,0,0,0,45,2024-05-06 16:24:38.398,2024-05-06 16:24:38.652,2024-05-06 16:24:38.398,0.254,0.254,42,3,45
E101,1,8784,108,3,1,2,117,2,0,23,9041,2024-08-13 03:27:40.734,2024-08-13 03:28:07.153,2024-08-13 03:27:40.734,26.419,26.419,4756,3,9041
E1010,1,0,11,0,0,1,0,0,0,0,13,2024-05-17 23:27:52.852,2024-05-17 23:27:52.874,2024-05-17 23:27:52.852,0.022,0.022,12,2,13
E1011,1,92,151,2,1,1,8,0,0,21,277,2024-08-23 03:02:23.274,2024-08-23 03:02:28.738,2024-08-23 03:02:23.274,5.464,5.464,249,3,277
E1012,1,750,787,29,13,6,150,0,8,38,1782,2024-08-22 07:17:12.335,2024-08-22 07:18:20.606,2024-08-22 07:17:12.335,68.271,68.271,1083,11,1782
E1013,1,0,11,0,0,1,0,0,0,0,13,2024-05-06 01:41:33.680,2024-05-06 01:41:33.696,2024-05-06 01:41:33.680,0.016,0.016,12,2,13
E1014,1,0,9,0,0,1,0,0,0,0,11,2024-08-14 13:43:31.599,2024-08-14 13:43:31.610,2024-08-14 13:43:31.599,0.011,0.011,10,2,11
E1015,1,40,116,3,1,2,0,0,0,0,163,2024-05-16 20:32:16.638,2024-05-16 20:32:18.947,2024-05-16 20:32:16.638,2.309,2.309,127,3,163
E1016,1,5,50,0,1,0,0,0,0,0,57,2024-08-14 22:56:24.714,2024-08-14 22:56:25.854,2024-08-14 22:56:24.714,1.14,1.14,55,3,57
E1017,1,38,62,0,0,0,0,0,0,0,101,2024-05-16 08:16:33.478,2024-05-16 08:16:37.446,2024-05-16 08:16:33.478,3.968,3.968,101,1,101
E1018,1,10,41,0,0,0,0,0,0,0,52,2024-05-05 06:01:13.176,2024-05-05 06:01:13.657,2024-05-05 06:01:13.176,0.481,0.481,52,2,52
E1019,1,5,41,0,1,2,0,0,0,0,50,2024-05-17 11:59:14.623,2024-05-17 11:59:15.015,2024-05-17 11:59:14.623,0.392,0.392,47,3,50
E102,1,534,733,15,36,31,11,0,0,15,1376,2024-08-22 08:28:56.666,2024-08-22 08:32:56.184,2024-08-22 08:28:56.666,239.518,239.518,551,7,1376
E1020,1,54,96,3,1,2,118,2,0,25,302,2024-08-13 02:41:57.875,2024-08-13 02:41:59.594,2024-08-13 02:41:57.875,1.719,1.719,252,2,302
E1021,1,0,23,0,0,1,0,0,0,0,25,2024-05-20 20:16:06.608,2024-05-20 20:16:06.628,2024-05-20 20:16:06.608,0.02,0.02,24,2,25
E1022,1,0,0,0,405,353,0,0,0,0,759,2024-08-12 22:07:57.455,2024-08-12 22:08:35.608,2024-08-12 22:07:57.455,38.153,38.153,403,403,759
E1023,1,192,494,22,6,2,143,0,8,39,907,2024-05-20 04:48:11.710,2024-05-20 04:49:18.866,2024-05-20 04:48:11.710,67.156,67.156,559,5,907
E1024,1,10,36,0,1,2,0,0,0,0,50,2024-05-20 06:33:29.599,2024-05-20 06:33:30.335,2024-05-20 06:33:29.599,0.736,0.736,38,3,50
E1025,1,2,20,0,0,0,0,0,0,0,23,2024-05-06 12:42:17.165,2024-05-06 12:42:17.790,2024-05-06 12:42:17.165,0.625,0.625,23,2,23
E1026,1,7,68,1,1,1,1,0,0,0,80,2024-08-28 05:24:24.753,2024-08-28 05:24:25.890,2024-08-28 05:24:24.753,1.137,1.137,77,3,80
E1027,1,262,206,7,1,2,226,0,2,9,716,2024-05-18 09:03:07.511,2024-05-18 09:03:10.881,2024-05-18 09:03:07.511,3.37,3.37,448,3,716
E1028,1,4,36,0,1,2,1,0,0,3,48,2024-05-06 00:54:22.416,2024-05-06 00:54:22.780,2024-05-06 00:54:22.416,0.364,0.364,35,3,48
E1029,1,0,11,0,0,1,0,0,0,0,13,2024-05-20 12:18:53.235,2024-05-20 12:18:53.255,2024-05-20 12:18:53.235,0.02,0.02,12,1,13
E103,1,757,46,25,0,0,1,0,0,0,830,2024-05-05 23:51:29.478,2024-05-05 23:56:06.766,2024-05-05 23:51:29.478,277.288,277.288,673,2,830
E1030,1,10,101,0,1,2,23,0,0,6,144,2024-05-18 12:27:07.691,2024-05-18 12:27:09.885,2024-05-18 12:27:07.691,2.194,2.194,105,3,144
E1031,1,447,35,0,0,0,10,0,0,10,503,2024-08-25 23:10:55.116,2024-08-25 23:15:31.257,2024-08-25 23:10:55.116,276.141,276.141,493,2,503
E1032,1,53,96,3,1,2,111,0,0,0,267,2024-08-14 14:40:07.069,2024-08-14 14:40:08.263,2024-08-14 14:40:07.069,1.194,1.194,243,3,267
E1033,1,16,39,0,0,1,0,0,0,0,57,2024-05-19 23:10:01.092,2024-05-19 23:10:01.427,2024-05-19 23:10:01.092,0.335,0.335,55,2,57
E1034,1,71,59,0,1,1,0,0,0,1,134,2024-08-23 21:03:48.643,2024-08-23 21:07:09.480,2024-08-23 21:03:48.643,200.837,200.837,90,3,134
E1035,1,57,111,3,1,2,111,0,0,0,286,2024-08-14 22:34:27.777,2024-08-14 22:34:29.151,2024-08-14 22:34:27.777,1.374,1.374,252,3,286
E1036,1,0,11,0,0,1,0,0,0,0,13,2024-05-18 06:07:01.506,2024-05-18 06:07:01.535,2024-05-18 06:07:01.506,0.029,0.029,12,2,13
E1037,1,32,81,0,1,1,1,0,0,4,121,2024-08-13 08:26:03.483,2024-08-13 08:26:04.446,2024-08-13 08:26:03.483,0.963,0.963,87,3,121
E1038,1,1,42,0,1,2,0,0,0,0,47,2024-05-19 23:24:46.521,2024-05-19 23:24:46.848,2024-05-19 23:24:46.521,0.327,0.327,32,3,47
E1039,1,0,9,0,0,1,0,0,0,0,11,2024-08-21 02:06:10.875,2024-08-21 02:06:10.885,2024-08-21 02:06:10.875,0.01,0.01,10,2,11
E104,1,5,29,0,0,1,0,0,0,0,36,2024-05-19 08:12:08.182,2024-05-19 08:12:08.919,2024-05-19 08:12:08.182,0.737,0.737,35,2,36
E1040,1,1,37,0,1,2,0,0,0,0,42,2024-05-06 15:19:22.012,2024-05-06 15:19:22.305,2024-05-06 15:19:22.012,0.293,0.293,39,3,42
E1041,1,2,9,0,0,1,0,0,0,0,13,2024-08-20 19:35:01.928,2024-08-20 19:35:02.557,2024-08-20 19:35:01.928,0.629,0.629,12,1,13
E1042,1,18,39,0,1,2,4,0,0,0,65,2024-08-23 04:09:15.954,2024-08-23 04:09:16.956,2024-08-23 04:09:15.954,1.002,1.002,48,2,65
E1043,1,52,102,3,1,2,111,0,0,0,272,2024-08-24 23:17:30.697,2024-08-24 23:17:31.816,2024-08-24 23:17:30.697,1.119,1.119,244,3,272
E1044,1,0,11,0,0,1,0,0,0,0,13,2024-05-18 02:02:36.216,2024-05-18 02:02:36.236,2024-05-18 02:02:36.216,0.02,0.02,12,2,13
E1045,1,17,37,0,0,0,0,0,0,0,55,2024-08-26 09:16:37.639,2024-08-26 09:16:38.439,2024-08-26 09:16:37.639,0.8,0.8,55,2,55
E1046,1,4,55,0,2,3,0,0,0,0,65,2024-05-19 06:07:50.350,2024-05-19 06:07:50.570,2024-05-19 06:07:50.350,0.22,0.22,41,4,65
E1047,1,536,730,20,36,31,8,0,0,12,1374,2024-08-21 20:29:40.332,2024-08-21 20:34:17.645,2024-08-21 20:29:40.332,277.313,277.313,551,7,1374
E1048,1,438,35,0,0,0,8,0,0,8,490,2024-08-09 03:47:59.508,2024-08-09 03:52:37.366,2024-08-09 03:47:59.508,277.858,277.858,482,1,490
E1049,1,72,101,0,1,1,7,2,0,25,210,2024-08-19 22:50:47.067,2024-08-19 22:50:49.522,2024-08-19 22:50:47.067,2.455,2.455,146,2,210
E105,1,52,100,3,1,2,111,0,0,0,270,2024-08-09 19:33:15.597,2024-08-09 19:33:22.270,2024-08-09 19:33:15.597,6.673,6.673,243,3,270
E1050,1,7,19,0,0,1,0,0,0,0,28,2024-05-18 10:17:49.046,2024-05-18 10:17:49.936,2024-05-18 10:17:49.046,0.89,0.89,25,2,28
E1051,1,73,59,0,1,1,0,0,0,0,135,2024-08-27 20:13:00.728,2024-08-27 20:16:16.304,2024-08-27 20:13:00.728,195.576,195.576,92,3,135
E1052,1,7,33,0,0,1,0,0,0,0,42,2024-05-05 18:58:47.659,2024-05-05 18:58:48.694,2024-05-05 18:58:47.659,1.035,1.035,41,2,42
E1053,1,67,102,3,1,2,111,0,0,1,288,2024-08-12 22:42:07.427,2024-08-12 22:43:07.155,2024-08-12 22:42:07.427,59.728,59.728,259,3,288
E1054,1,68,102,3,1,2,111,0,0,4,292,2024-08-26 08:18:52.379,2024-08-26 08:19:20.353,2024-08-26 08:18:52.379,27.974,27.974,257,3,292
E1055,1,19,0,0,0,0,0,0,0,0,20,2024-08-14 08:18:55.283,2024-08-14 08:19:01.861,2024-08-14 08:18:55.283,6.578,6.578,17,2,20
E1056,1,8,37,0,0,0,0,0,0,0,46,2024-05-20 20:42:35.571,2024-05-20 20:42:37.903,2024-05-20 20:42:35.571,2.332,2.332,46,2,46
E1057,1,15,57,2,0,0,1,0,0,3,79,2024-08-09 00:14:58.049,2024-08-09 00:14:58.621,2024-08-09 00:14:58.049,0.572,0.572,78,2,79
E1058,1,70,86,0,1,0,4,0,0,4,166,2024-08-09 08:31:17.648,2024-08-09 08:31:44.298,2024-08-09 08:31:17.648,26.65,26.65,93,3,166
E1059,1,0,34,0,0,1,0,0,0,0,36,2024-05-17 12:53:25.393,2024-05-17 12:53:25.747,2024-05-17 12:53:25.393,0.354,0.354,35,2,36
E106,1,0,15,0,0,1,0,0,0,0,17,2024-05-16 20:35:40.776,2024-05-16 20:35:40.803,2024-05-16 20:35:40.776,0.027,0.027,16,1,17
E1060,1,3,15,0,0,1,0,0,0,0,20,2024-08-14 10:13:21.671,2024-08-14 10:13:22.005,2024-08-14 10:13:21.671,0.334,0.334,19,2,20
E1061,1,7,82,0,2,3,7,0,0,4,106,2024-08-09 12:49:27.161,2024-08-09 12:49:46.433,2024-08-09 12:49:27.161,19.272,19.272,66,3,106
E1062,1,4,25,0,0,1,0,0,0,0,31,2024-05-20 05:13:09.506,2024-05-20 05:13:09.807,2024-05-20 05:13:09.506,0.301,0.301,30,2,31
E1063,1,44,88,0,1,0,0,0,0,0,134,2024-05-05 05:03:20.441,2024-05-05 05:03:26.044,2024-05-05 05:03:20.441,5.603,5.603,88,2,134
E1064,1,60,94,3,1,2,108,0,0,0,269,2024-08-22 09:10:49.339,2024-08-22 09:10:51.580,2024-08-22 09:10:49.339,2.241,2.241,248,3,269
E1065,1,0,11,0,0,1,0,0,0,0,13,2024-05-18 18:39:47.026,2024-05-18 18:39:47.046,2024-05-18 18:39:47.026,0.02,0.02,12,2,13
E1066,1,0,11,0,0,1,0,0,0,0,13,2024-05-21 02:30:33.603,2024-05-21 02:30:33.622,2024-05-21 02:30:33.603,0.019,0.019,12,2,13
E1067,1,1,21,0,0,1,0,0,0,0,24,2024-08-22 10:22:02.352,2024-08-22 10:22:02.413,2024-08-22 10:22:02.352,0.061,0.061,23,2,24
E1068,1,11,53,0,1,2,0,0,0,0,68,2024-05-19 04:37:19.442,2024-05-19 04:37:19.709,2024-05-19 04:37:19.442,0.267,0.267,51,3,68
E1069,1,15,41,0,0,0,0,0,0,0,57,2024-08-26 13:52:53.091,2024-08-26 13:52:54.114,2024-08-26 13:52:53.091,1.023,1.023,57,2,57
E107,1,0,11,0,0,1,1,0,0,2,16,2024-05-19 14:17:35.213,2024-05-19 14:17:35.538,2024-05-19 14:17:35.213,0.325,0.325,13,2,16
E1070,1,114,171,0,2,2,25,1,5,22,343,2024-05-19 22:19:29.552,2024-05-19 22:19:31.885,2024-05-19 22:19:29.552,2.333,2.333,254,4,343
E1071,1,17,58,0,1,0,0,0,0,0,77,2024-08-26 09:23:38.401,2024-08-26 09:23:39.124,2024-08-26 09:23:38.401,0.723,0.723,52,3,77
E1072,1,8,47,0,1,2,0,0,0,0,59,2024-05-18 18:13:53.691,2024-05-18 18:13:54.592,2024-05-18 18:13:53.691,0.901,0.901,56,3,59
E1073,1,9,115,0,3,4,0,0,0,0,132,2024-08-26 22:45:48.550,2024-08-26 22:45:51.555,2024-08-26 22:45:48.550,3.005,3.005,41,3,132
E1074,1,49,97,0,1,1,1,0,0,4,154,2024-05-04 02:43:41.363,2024-05-04 02:43:42.702,2024-05-04 02:43:41.363,1.339,1.339,111,3,154
E1075,1,7,19,0,0,1,0,0,0,0,28,2024-05-20 12:09:22.861,2024-05-20 12:09:24.255,2024-05-20 12:09:22.861,1.394,1.394,25,2,28
E1076,1,57,167,2176,5,4,2,0,0,1,2413,2024-08-14 05:17:45.766,2024-08-14 05:18:49.033,2024-08-14 05:17:45.766,63.267,63.267,1234,6,2413
E1077,1,191,468,46,14,12,3,0,0,10,745,2024-05-04 11:32:05.534,2024-05-04 11:37:09.941,2024-05-04 11:32:05.534,304.407,304.407,281,10,745
E1078,1,79,108,3,1,2,110,0,0,0,304,2024-05-04 07:14:03.281,2024-05-04 07:14:05.512,2024-05-04 07:14:03.281,2.231,2.231,268,3,304
E1079,1,1,25,0,0,0,0,0,0,0,27,2024-05-16 10:09:35.151,2024-05-16 10:09:36.087,2024-05-16 10:09:35.151,0.936,0.936,27,2,27
E108,1,70,104,4,2,2,5,0,2,11,201,2024-08-13 17:00:32.272,2024-08-13 17:05:32.099,2024-08-13 17:00:32.272,299.827,299.827,160,4,201
E1080,1,15,36,0,0,1,0,0,0,0,53,2024-08-13 12:09:07.172,2024-08-13 12:09:08.282,2024-08-13 12:09:07.172,1.11,1.11,52,2,53
E1081,1,5,50,0,1,2,0,0,0,0,59,2024-05-19 00:54:38.833,2024-05-19 00:54:39.484,2024-05-19 00:54:38.833,0.651,0.651,56,3,59
E1082,1,3,54,0,1,2,0,0,0,0,61,2024-05-20 21:10:14.676,2024-05-20 21:10:15.542,2024-05-20 21:10:14.676,0.866,0.866,41,3,61
E1083,1,2,23,0,0,1,0,0,0,0,27,2024-05-06 07:21:17.385,2024-05-06 07:21:17.592,2024-05-06 07:21:17.385,0.207,0.207,26,2,27
E1084,1,534,735,16,36,31,15,0,0,19,1387,2024-08-21 23:40:05.722,2024-08-21 23:43:46.534,2024-08-21 23:40:05.722,220.812,220.812,550,7,1387
E1085,1,449,35,0,0,0,10,0,0,10,505,2024-08-09 12:26:18.429,2024-08-09 12:30:53.726,2024-08-09 12:26:18.429,275.297,275.297,495,1,505
E1086,1,7,28,0,0,0,0,0,0,0,36,2024-05-21 04:54:26.228,2024-05-21 04:54:27.199,2024-05-21 04:54:26.228,0.971,0.971,36,2,36
E1087,1,1,46,0,1,2,1,0,0,3,55,2024-05-21 02:19:10.511,2024-05-21 02:23:37.562,2024-05-21 02:19:10.511,267.051,267.051,35,2,55
E1088,1,13,33,0,0,1,0,0,0,0,48,2024-08-27 22:13:08.336,2024-08-27 22:13:08.633,2024-08-27 22:13:08.336,0.297,0.297,45,1,48
E1089,1,17,36,0,0,0,0,0,0,0,54,2024-05-07 07:25:51.593,2024-05-07 07:25:52.253,2024-05-07 07:25:51.593,0.66,0.66,54,2,54
E109,1,12,53,1,0,0,2,0,0,7,76,2024-08-28 02:11:39.109,2024-08-28 02:11:40.615,2024-08-28 02:11:39.109,1.506,1.506,71,2,76
E1090,1,8,22,0,0,0,0,0,0,0,31,2024-08-20 03:57:53.418,2024-08-20 03:57:53.867,2024-08-20 03:57:53.418,0.449,0.449,31,2,31
E1091,1,63,224,0,7,8,0,0,0,0,303,2024-08-23 05:38:39.811,2024-08-23 05:38:40.588,2024-08-23 05:38:39.811,0.777,0.777,95,9,303
E1092,1,8,27,0,0,0,0,0,0,0,36,2024-08-13 10:46:52.260,2024-08-13 10:46:52.449,2024-08-13 10:46:52.260,0.189,0.189,36,2,36
E1093,1,0,11,0,0,1,0,0,0,0,13,2024-05-06 03:28:02.570,2024-05-06 03:28:02.603,2024-05-06 03:28:02.570,0.033,0.033,12,2,13
E1094,1,64,224,0,7,8,24,0,0,32,360,2024-08-28 01:20:22.488,2024-08-28 01:20:23.893,2024-08-28 01:20:22.488,1.405,1.405,119,9,360
E1095,1,34,46,0,0,0,0,0,0,0,81,2024-08-26 05:24:06.295,2024-08-26 05:24:06.924,2024-08-26 05:24:06.295,0.629,0.629,71,2,81
E1096,1,0,11,0,0,1,0,0,0,0,13,2024-05-18 21:50:51.298,2024-05-18 21:50:51.317,2024-05-18 21:50:51.298,0.019,0.019,12,2,13
E1097,1,0,11,0,0,1,0,0,0,0,13,2024-05-19 07:11:01.682,2024-05-19 07:11:01.732,2024-05-19 07:11:01.682,0.05,0.05,12,2,13
E1098,1,50,94,3,1,2,111,0,0,0,262,2024-08-21 14:57:52.316,2024-08-21 14:57:54.073,2024-08-21 14:57:52.316,1.757,1.757,241,3,262
E1099,1,6,30,0,0,0,0,0,0,0,37,2024-05-21 15:27:52.691,2024-05-21 15:27:53.585,2024-05-21 15:27:52.691,0.894,0.894,37,2,37
E11,1,105,117,0,1,0,0,0,0,0,224,2024-05-04 09:10:05.672,2024-05-04 09:10:10.691,2024-05-04 09:10:05.672,5.019,5.019,167,3,224
E110,1,20,61,1,0,1,4,0,0,7,95,2024-08-22 09:40:16.718,2024-08-22 09:40:42.163,2024-08-22 09:40:16.718,25.445,25.445,88,2,95
E1100,1,7,28,0,0,0,0,0,0,0,36,2024-05-18 21:33:02.501,2024-05-18 21:33:02.775,2024-05-18 21:33:02.501,0.274,0.274,36,2,36
E1101,1,24,44,0,0,0,0,0,0,0,69,2024-05-05 13:35:37.702,2024-05-05 13:35:38.400,2024-05-05 13:35:37.702,0.698,0.698,68,1,69
E1102,1,1,47,0,1,2,0,0,0,0,52,2024-05-20 21:02:33.360,2024-05-20 21:02:34.107,2024-05-20 21:02:33.360,0.747,0.747,49,3,52
E1103,1,434,35,0,0,0,10,0,0,10,490,2024-08-24 07:28:49.756,2024-08-24 07:33:22.068,2024-08-24 07:28:49.756,272.312,272.312,480,2,490
E1104,1,0,11,0,0,1,0,0,0,0,13,2024-05-06 09:40:00.215,2024-05-06 09:40:00.287,2024-05-06 09:40:00.215,0.072,0.072,12,2,13
E1105,1,38,82,0,1,1,1,0,0,4,128,2024-08-23 16:36:39.614,2024-08-23 16:36:40.834,2024-08-23 16:36:39.614,1.22,1.22,93,3,128
E1106,1,392,140,9,1,0,137,0,4,9,693,2024-05-06 00:43:53.793,2024-05-06 00:44:42.218,2024-05-06 00:43:53.793,48.425,48.425,470,3,693
E1107,1,0,0,0,0,0,0,0,0,0,1,2024-08-26 13:54:20.825,2024-08-26 13:54:20.825,2024-08-26 13:54:20.825,0.0,0.0,1,1,1
E1108,1,42,85,0,0,1,6,0,2,0,137,2024-08-08 23:19:22.543,2024-08-08 23:19:28.228,2024-08-08 23:19:22.543,5.685,5.685,135,1,137
E1109,1,6,52,0,0,1,0,0,0,0,60,2024-05-06 19:04:02.296,2024-05-06 19:04:02.853,2024-05-06 19:04:02.296,0.557,0.557,59,1,60
E111,1,15,30,0,0,0,0,0,0,0,46,2024-05-20 00:03:24.153,2024-05-20 00:03:25.494,2024-05-20 00:03:24.153,1.341,1.341,46,2,46
E1110,1,7,25,0,0,0,0,0,0,0,33,2024-05-04 16:56:23.825,2024-05-04 16:56:24.277,2024-05-04 16:56:23.825,0.452,0.452,33,2,33
E1111,1,52,102,3,1,2,111,0,0,0,272,2024-08-25 11:41:03.712,2024-08-25 11:41:06.117,2024-08-25 11:41:03.712,2.405,2.405,243,3,272
E1112,1,49,84,0,1,0,0,0,0,0,135,2024-05-17 08:45:25.069,2024-05-17 08:45:25.850,2024-05-17 08:45:25.069,0.781,0.781,108,3,135
E1113,1,36,49,0,0,0,0,0,0,0,86,2024-08-09 09:39:42.624,2024-08-09 09:39:43.909,2024-08-09 09:39:42.624,1.285,1.285,82,2,86
E1114,1,755,46,24,0,0,2,0,0,0,828,2024-08-27 17:07:56.801,2024-08-27 17:12:38.822,2024-08-27 17:07:56.801,282.021,282.021,676,2,828
E1115,1,464,35,0,0,0,10,0,0,10,520,2024-08-21 05:17:49.072,2024-08-21 05:22:25.456,2024-08-21 05:17:49.072,276.384,276.384,510,2,520
E1116,1,88,207,109,5,3,7,0,0,4,424,2024-08-26 02:28:04.795,2024-08-26 02:32:41.996,2024-08-26 02:28:04.795,277.201,277.201,202,6,424
E1117,1,0,20,0,0,1,0,0,0,0,22,2024-05-16 23:53:37.702,2024-05-16 23:53:37.715,2024-05-16 23:53:37.702,0.013,0.013,21,2,22
E1118,1,525,576,15,27,23,10,0,0,14,1191,2024-08-08 23:28:44.653,2024-08-08 23:33:34.117,2024-08-08 23:28:44.653,289.464,289.464,546,7,1191
E1119,1,79,120,3,1,2,111,0,0,0,317,2024-08-23 01:25:19.061,2024-08-23 01:25:20.608,2024-08-23 01:25:19.061,1.547,1.547,276,3,317
E112,1,9,54,0,1,2,0,0,0,0,67,2024-05-16 17:10:01.709,2024-05-16 17:10:02.775,2024-05-16 17:10:01.709,1.066,1.066,64,2,67
E1120,1,0,11,0,0,1,0,0,0,0,13,2024-05-17 15:14:53.026,2024-05-17 15:14:53.052,2024-05-17 15:14:53.026,0.026,0.026,12,2,13
E1121,1,0,11,0,0,1,0,0,0,0,13,2024-05-06 20:21:42.862,2024-05-06 20:21:42.879,2024-05-06 20:21:42.862,0.017,0.017,12,2,13
E1122,1,20,52,0,0,0,0,0,0,0,73,2024-05-20 22:33:26.626,2024-05-20 22:33:29.532,2024-05-20 22:33:26.626,2.906,2.906,73,2,73
E1123,1,6,43,0,1,2,0,0,0,0,53,2024-05-18 15:58:24.443,2024-05-18 15:58:24.823,2024-05-18 15:58:24.443,0.38,0.38,50,3,53
E1124,1,0,0,2,2,0,0,0,0,4,9,2024-08-13 17:16:02.728,2024-08-13 17:16:15.718,2024-08-13 17:16:02.728,12.99,12.99,8,3,9
E1125,1,4,21,0,0,0,0,0,0,0,26,2024-08-23 17:14:49.276,2024-08-23 17:14:49.972,2024-08-23 17:14:49.276,0.696,0.696,26,2,26
E1126,1,0,32,0,0,1,0,0,0,0,34,2024-08-09 21:59:08.927,2024-08-09 21:59:08.957,2024-08-09 21:59:08.927,0.03,0.03,33,2,34
E1127,1,0,11,0,0,0,0,0,0,0,12,2024-05-17 08:50:29.791,2024-05-17 08:50:29.807,2024-05-17 08:50:29.791,0.016,0.016,12,2,12
E1128,1,0,11,0,0,1,0,0,0,0,13,2024-05-16 19:41:15.830,2024-05-16 19:41:15.844,2024-05-16 19:41:15.830,0.014,0.014,12,2,13
E1129,1,6,38,0,1,0,0,0,0,0,46,2024-05-21 11:21:37.390,2024-05-21 11:21:38.370,2024-05-21 11:21:37.390,0.98,0.98,45,2,46
E113,1,0,11,0,0,1,0,0,0,0,13,2024-05-06 17:46:53.376,2024-05-06 17:46:53.397,2024-05-06 17:46:53.376,0.021,0.021,12,2,13
E1130,1,0,9,0,0,1,0,0,0,0,11,2024-08-21 13:07:29.845,2024-08-21 13:07:29.854,2024-08-21 13:07:29.845,0.009,0.009,10,2,11
E1131,1,19,44,0,0,0,0,0,0,0,64,2024-05-05 19:21:40.136,2024-05-05 19:21:40.797,2024-05-05 19:21:40.136,0.661,0.661,64,2,64
E1132,1,0,22,0,0,0,0,0,0,0,23,2024-05-20 03:34:25.595,2024-05-20 03:34:25.613,2024-05-20 03:34:25.595,0.018,0.018,23,1,23
E1133,1,479,35,0,0,0,8,0,0,8,531,2024-08-23 22:13:03.720,2024-08-23 22:17:43.005,2024-08-23 22:13:03.720,279.285,279.285,523,2,531
E1134,1,0,11,0,0,1,0,0,0,0,13,2024-05-18 22:54:38.765,2024-05-18 22:54:38.782,2024-05-18 22:54:38.765,0.017,0.017,12,2,13
E1135,1,7,31,0,0,1,0,0,0,0,40,2024-05-18 17:20:55.364,2024-05-18 17:20:55.672,2024-05-18 17:20:55.364,0.308,0.308,39,2,40
E1136,1,44,52,0,0,1,1,0,0,0,99,2024-05-03 19:26:53.368,2024-05-03 19:26:56.250,2024-05-03 19:26:53.368,2.882,2.882,96,2,99
E1137,1,1997,8075,0,424,370,5,0,0,0,10872,2024-08-25 07:30:42.491,2024-08-25 07:35:03.836,2024-08-25 07:30:42.491,261.345,261.345,1372,423,10872
E1138,1,0,11,0,0,1,0,0,0,0,13,2024-05-21 01:58:48.946,2024-05-21 01:58:48.967,2024-05-21 01:58:48.946,0.021,0.021,12,2,13
E1139,1,64,167,3,3,2,0,0,0,3,243,2024-08-28 22:32:39.152,2024-08-28 22:32:41.013,2024-08-28 22:32:39.152,1.861,1.861,156,5,243
E114,1,73,59,0,1,1,0,0,0,0,135,2024-08-13 03:56:19.635,2024-08-13 04:00:23.609,2024-08-13 03:56:19.635,243.974,243.974,92,3,135
E1140,1,1368,130,0,1,0,0,0,0,1,1501,2024-05-18 23:23:22.491,2024-05-18 23:23:25.077,2024-05-18 23:23:22.491,2.586,2.586,1402,3,1501
E1141,1,7,39,0,1,2,0,0,0,0,50,2024-05-04 13:27:16.578,2024-05-04 13:27:17.605,2024-05-04 13:27:16.578,1.027,1.027,47,3,50
